"id","date","name"
"107981","As Of 27 Nov 2019","AC AP exJP/HEALTH CARE"
"107931","As Of 27 Nov 2019","AC AP/COMM SVC"
"107869","As Of 27 Nov 2019","AC AP/CONSUMER DISCR"
"107871","As Of 27 Nov 2019","AC AP/CONSUMER STAPLES"
"107880","As Of 27 Nov 2019","AC AP/ENERGY"
"107883","As Of 27 Nov 2019","AC AP/FINANCIALS"
"107889","As Of 27 Nov 2019","AC AP/HEALTH CARE"
"107899","As Of 27 Nov 2019","AC AP/INDUSTRIALS"
"107900","As Of 27 Nov 2019","AC AP/INFORMATION TECH"
"107909","As Of 27 Nov 2019","AC AP/MATERIALS"
"107922","As Of 27 Nov 2019","AC AP/REAL ESTATE"
"107938","As Of 27 Nov 2019","AC AP/UTILITIES"
"127200","As Of 27 Nov 2019","AC ASEAN"
"302000","As Of 27 Nov 2019","AC ASIA PACIFIC"
"709191","As Of 27 Nov 2019","AC ASIA PACIFIC MOMENTUM"
"705255","As Of 27 Nov 2019","AC ASIA PACIFIC QUALITY"
"899903","As Of 27 Nov 2019","AC ASIA PACIFIC ex JAPAN"
"899800","As Of 27 Nov 2019","AC ASIA ex JAPAN"
"701781","As Of 27 Nov 2019","AC ASIA ex JAPAN HIGH DIVIDEND YIELD"
"126157","As Of 27 Nov 2019","AC ASIA ex JP INFRASTR SECTOR CAPPED"
"129881","As Of 27 Nov 2019","AC ASIA ex JP INFRASTRUCTURE"
"702713","As Of 27 Nov 2019","AC ASIA ex JP INFRASTRUCTURE 20/35"
"723336","As Of 27 Nov 2019","AC ASIA ex JP LCL ex TOB INV 5% CAPPED"
"107595","As Of 27 Nov 2019","AC ASIA exJP/CONSUMER STAPLES"
"107607","As Of 27 Nov 2019","AC ASIA exJP/FINANCIALS"
"107624","As Of 27 Nov 2019","AC ASIA exJP/INFORMATION TECH"
"107633","As Of 27 Nov 2019","AC ASIA exJP/MATERIALS"
"132182","As Of 27 Nov 2019","AC ASIA exJP/REAL ESTATE"
"892200","As Of 27 Nov 2019","AC FAR EAST ex JAPAN"
"655042","As Of 27 Nov 2019","AC FAR EAST ex JAPAN SMALL CAP"
"892400","As Of 27 Nov 2019","ACWI"
"715181","As Of 27 Nov 2019","ACWI ESG UNIVERSAL 5% ISSUER CAPPED"
"702616","As Of 27 Nov 2019","ACWI GOLD CAPPED"
"664204","As Of 27 Nov 2019","ACWI IMI"
"727240","As Of 27 Nov 2019","ACWI IMI DIGITAL ECONOMY ESG FILTERED"
"727238","As Of 27 Nov 2019","ACWI IMI DISRUPTIVE TECH ESG FILTERED"
"727232","As Of 27 Nov 2019","ACWI IMI FUTURE MOBILITY ESG FILTERED"
"727234","As Of 27 Nov 2019","ACWI IMI MILLENNIALS ESG FILTERED"
"727236","As Of 27 Nov 2019","ACWI IMI SMART CITIES ESG FILTERED"
"701076","As Of 27 Nov 2019","ACWI RISK WEIGHTED"
"715537","As Of 27 Nov 2019","ACWI SRI 5% ISSUER CAPPED"
"708931","As Of 27 Nov 2019","ACWI SRI SEB POLICY B"
"717847","As Of 27 Nov 2019","ACWI SRI SEB POLICY C"
"709162","As Of 27 Nov 2019","ACWI SUSTAINABLE IMPACT"
"717557","As Of 27 Nov 2019","ACWI ex TC AD CAPPED 2.0x ESG UNIVERSAL"
"106750","As Of 27 Nov 2019","ACWI/HEALTH CARE"
"704177","As Of 27 Nov 2019","ALL UAE LOCAL LISTING 10-40"
"903200","As Of 27 Nov 2019","ARGENTINA"
"903600","As Of 27 Nov 2019","AUSTRALIA"
"904000","As Of 27 Nov 2019","AUSTRIA"
"144505","As Of 27 Nov 2019","BANGLADESH IMI"
"907600","As Of 27 Nov 2019","BRAZIL"
"702752","As Of 27 Nov 2019","BRAZIL 25-50"
"127300","As Of 27 Nov 2019","BRIC"
"912400","As Of 27 Nov 2019","CANADA"
"700869","As Of 27 Nov 2019","CANADA ESG LEADERS"
"915200","As Of 27 Nov 2019","CHILE"
"664215","As Of 27 Nov 2019","CHILE IMI"
"302400","As Of 27 Nov 2019","CHINA"
"127269","As Of 27 Nov 2019","CHINA 10-40"
"718708","As Of 27 Nov 2019","CHINA A"
"716566","As Of 27 Nov 2019","CHINA A INCLUSION"
"704843","As Of 27 Nov 2019","CHINA A INTERNATIONAL"
"133333","As Of 27 Nov 2019","CHINA A ONSHORE"
"715814","As Of 27 Nov 2019","CHINA ALL SHARES/HEALTH CARE 10-40"
"715384","As Of 27 Nov 2019","CHINA ESG LEADERS 10-40"
"723009","As Of 27 Nov 2019","CHINA ESG UNIVERSAL 5% ISSUER CAPPED"
"302401","As Of 27 Nov 2019","CHINA FREE"
"719522","As Of 27 Nov 2019","CHINA FREE 50 ex A&amp;B"
"719524","As Of 27 Nov 2019","CHINA FREE 50 ex A&amp;B LEVERAGED 2X"
"128715","As Of 27 Nov 2019","CHINA H"
"920800","As Of 27 Nov 2019","DENMARK"
"705046","As Of 27 Nov 2019","DENMARK IMI 20% CAPPED DAILY"
"990300","As Of 27 Nov 2019","EAFE"
